arrival_ts,sequence,product,num_changes,arrival_dt,latency_ms,rolling_mean_ms,rolling_std_ms,z_score,is_spike,phase
1775324078.631742,84,BTC-USD,9,2026-04-04 17:34:38.631742001+00:00,0.19693374633789062,67.35095977783203,197.92224747295475,-0.3392949852222674,False,before
1775324078.631949,85,BTC-USD,2,2026-04-04 17:34:38.631948948+00:00,0.20694732666015625,66.38993740081787,198.13339084473944,-0.3340324908991225,False,before
1775324078.632136,86,BTC-USD,13,2026-04-04 17:34:38.632136106+00:00,0.18715858459472656,65.35362243652344,198.3455710216996,-0.3285501335686457,False,before
1775324078.632375,87,BTC-USD,8,2026-04-04 17:34:38.632375002+00:00,0.23889541625976562,64.39338207244873,198.54617689392532,-0.32312123889680305,False,before
1775324078.632562,88,BTC-USD,6,2026-04-04 17:34:38.632561922+00:00,0.186920166015625,63.40859889984131,198.7439432160845,-0.31810619086433173,False,before
1775324078.632774,89,BTC-USD,8,2026-04-04 17:34:38.632774115+00:00,0.21219253540039062,62.381601333618164,198.9389867824439,-0.31250490315508206,False,before
1775324078.633006,90,BTC-USD,6,2026-04-04 17:34:38.633006096+00:00,0.2319812774658203,61.367340087890625,199.12767142167027,-0.3070158877164055,False,before
1775324078.633182,91,BTC-USD,4,2026-04-04 17:34:38.633182049+00:00,0.17595291137695312,60.36482334136963,199.31061463714337,-0.3019852732859714,False,before
1775324078.6333508,92,BTC-USD,1,2026-04-04 17:34:38.633350849+00:00,0.16880035400390625,59.391140937805176,199.48684006776165,-0.2968734206411041,False,before
1775324078.633514,93,BTC-USD,5,2026-04-04 17:34:38.633513927+00:00,0.16307830810546875,58.35423469543457,199.66066459405258,-0.29145027893021686,False,before
1775324078.661312,94,BTC-USD,3,2026-04-04 17:34:38.661312103+00:00,27.798175811767578,57.949724197387695,199.70250525677656,-0.15098232416689714,False,before
1775324078.71327,95,BTC-USD,8,2026-04-04 17:34:38.713269949+00:00,51.95784568786621,57.008137702941895,199.6157960091146,-0.025300061999327366,False,before
1775324078.764384,96,BTC-USD,6,2026-04-04 17:34:38.764384031+00:00,51.11408233642578,57.03633785247803,199.61484268529574,-0.02966841261092504,False,before
1775324078.815207,97,BTC-USD,4,2026-04-04 17:34:38.815207005+00:00,50.82297325134277,57.1329402923584,199.61055789300164,-0.03161138923522268,False,before
1775324078.915572,98,BTC-USD,3,2026-04-04 17:34:38.915571928+00:00,100.36492347717285,58.07741641998291,199.70298528499924,0.21175200258944943,False,before
1775324078.964394,99,BTC-USD,6,2026-04-04 17:34:38.964394093+00:00,48.82216453552246,41.38082027435303,160.2775864555763,0.04642785323718317,False,before
1775324079.758414,100,BTC-USD,4,2026-04-04 17:34:39.758414030+00:00,794.0199375152588,57.253780364990234,192.24467297858928,3.8324399096994686,True,before
1775324079.758807,101,BTC-USD,1,2026-04-04 17:34:39.758806944+00:00,0.392913818359375,57.25790023803711,192.24342725986804,-0.2957967782316407,False,before
1775324079.75909,102,BTC-USD,9,2026-04-04 17:34:39.759089947+00:00,0.2830028533935547,57.2302770614624,192.251677518212,-0.29621210562739686,False,before
1775324079.75931,103,BTC-USD,5,2026-04-04 17:34:39.759310007+00:00,0.2200603485107422,57.23038196563721,192.2516457736263,-0.29654009664112496,False,before
1775324079.759548,104,BTC-USD,2,2026-04-04 17:34:39.759547949+00:00,0.23794174194335938,57.21007823944092,192.2577316990735,-0.296332095432561,False,before
1775324079.7597282,105,BTC-USD,3,2026-04-04 17:34:39.759728193+00:00,0.18024444580078125,57.209343910217285,192.2579538970787,-0.29662803701190876,False,before
1775324079.759904,106,BTC-USD,1,2026-04-04 17:34:39.759903908+00:00,0.17571449279785156,57.17895984649658,192.26702616694888,-0.29647957057494506,False,before
1775324079.760114,107,BTC-USD,3,2026-04-04 17:34:39.760113955+00:00,0.21004676818847656,57.167696952819824,192.27041428248396,-0.2962372052777142,False,before
1775324079.76035,108,BTC-USD,1,2026-04-04 17:34:39.760349989+00:00,0.23603439331054688,57.148423194885254,192.27618739133237,-0.2959929129744137,False,before
