arrival_ts,sequence,product,num_changes
1775324090.314881,312,BTC-USD,12
1775324090.3645382,313,BTC-USD,11
1775324090.414687,314,BTC-USD,41
1775324090.463638,315,BTC-USD,22
1775324090.5125818,316,BTC-USD,9
1775324090.56368,317,BTC-USD,7
1775324090.618634,318,BTC-USD,22
1775324090.6605282,319,BTC-USD,6
1775324090.71512,320,BTC-USD,5
1775324090.758562,321,BTC-USD,1
1775324090.81465,322,BTC-USD,5
1775324090.863893,323,BTC-USD,4
1775324090.914242,324,BTC-USD,10
1775324090.96417,325,BTC-USD,3
1775324091.015669,326,BTC-USD,3
1775324091.061273,327,BTC-USD,3
1775324091.114599,328,BTC-USD,11
1775324091.165304,329,BTC-USD,12
1775324091.213651,330,BTC-USD,9
1775324091.265193,331,BTC-USD,2
1775324091.3181708,332,BTC-USD,10
1775324091.3646111,333,BTC-USD,7
1775324091.4141629,334,BTC-USD,1
1775324091.4605691,335,BTC-USD,1
1775324091.509643,336,BTC-USD,2
1775324091.560259,337,BTC-USD,2
1775324091.6147041,338,BTC-USD,4
1775324091.6626601,339,BTC-USD,1
1775324091.71389,340,BTC-USD,13
1775324091.763985,341,BTC-USD,17
1775324091.8140411,342,BTC-USD,4
1775324091.863034,343,BTC-USD,12
1775324091.91416,344,BTC-USD,4
1775324091.960175,345,BTC-USD,1
1775324092.009195,346,BTC-USD,1
1775324092.0636039,347,BTC-USD,9
1775324092.859649,348,BTC-USD,20
1775324092.859991,349,BTC-USD,3
1775324092.860457,350,BTC-USD,5
1775324092.8605819,351,BTC-USD,5
1775324092.860725,352,BTC-USD,1
1775324092.866594,353,BTC-USD,38
1775324092.8667939,354,BTC-USD,14
1775324092.8693519,355,BTC-USD,1
1775324092.870471,356,BTC-USD,10
1775324092.873845,357,BTC-USD,3
1775324092.874022,358,BTC-USD,3
1775324092.875658,359,BTC-USD,8
1775324092.877523,360,BTC-USD,2
1775324092.8800588,361,BTC-USD,38
1775324092.887139,362,BTC-USD,15
1775324092.889351,363,BTC-USD,13
1775324092.914065,364,BTC-USD,6
1775324092.9651442,365,BTC-USD,18
1775324093.015201,366,BTC-USD,6
1775324093.064418,367,BTC-USD,4
1775324093.1143198,368,BTC-USD,6
1775324093.1593878,369,BTC-USD,5
1775324093.210458,370,BTC-USD,2
1775324093.264628,371,BTC-USD,8
1775324093.314048,372,BTC-USD,2
1775324093.363549,373,BTC-USD,9
1775324093.413882,374,BTC-USD,3
1775324093.510776,375,BTC-USD,2
1775324093.563725,376,BTC-USD,7
1775324093.618697,377,BTC-USD,8
1775324093.662824,378,BTC-USD,2
1775324093.712848,379,BTC-USD,5
1775324093.764,380,BTC-USD,7
1775324093.810975,381,BTC-USD,2
1775324093.911129,382,BTC-USD,1
1775324093.963124,383,BTC-USD,2
1775324094.017632,384,BTC-USD,3
1775324094.064181,385,BTC-USD,7
1775324094.11441,386,BTC-USD,15
1775324094.163467,387,BTC-USD,6
1775324094.210346,388,BTC-USD,3
1775324094.259456,389,BTC-USD,1
1775324094.31354,390,BTC-USD,2
1775324094.364637,391,BTC-USD,3
1775324094.4129899,392,BTC-USD,5
1775324094.513671,393,BTC-USD,5
1775324094.565401,394,BTC-USD,14
1775324094.61981,395,BTC-USD,18
1775324094.665333,396,BTC-USD,7
1775324094.713911,397,BTC-USD,5
1775324094.7678761,398,BTC-USD,4
1775324094.814229,399,BTC-USD,5
1775324094.8629289,400,BTC-USD,5
1775324094.916336,401,BTC-USD,38
1775324094.9699461,402,BTC-USD,34
1775324095.0135,403,BTC-USD,13
1775324095.0599968,404,BTC-USD,3
1775324095.118782,405,BTC-USD,19
1775324095.164437,406,BTC-USD,4
1775324095.2117388,407,BTC-USD,1
1775324095.260585,408,BTC-USD,3
1775324095.310848,409,BTC-USD,1
1775324095.3663082,410,BTC-USD,5
1775324095.4137018,411,BTC-USD,12
1775324095.464072,412,BTC-USD,4
1775324095.509908,413,BTC-USD,2
1775324095.565855,414,BTC-USD,10
1775324095.614966,415,BTC-USD,14
1775324095.664299,416,BTC-USD,21
1775324095.713033,417,BTC-USD,11
1775324095.763027,418,BTC-USD,3
1775324095.8141172,419,BTC-USD,6
1775324095.865036,420,BTC-USD,4
1775324095.9146419,421,BTC-USD,12
1775324095.964246,422,BTC-USD,4
1775324096.0144289,423,BTC-USD,10
1775324096.064527,424,BTC-USD,14
1775324096.11566,425,BTC-USD,9
1775324096.1635149,426,BTC-USD,3
1775324096.264564,427,BTC-USD,16
1775324096.3144221,428,BTC-USD,2
1775324096.35985,429,BTC-USD,1
1775324096.4153411,430,BTC-USD,8
1775324096.462803,431,BTC-USD,5
1775324096.514532,432,BTC-USD,3
1775324096.5636559,433,BTC-USD,6
1775324096.6136909,434,BTC-USD,3
1775324096.662678,435,BTC-USD,3
1775324096.714912,436,BTC-USD,6
1775324096.759756,437,BTC-USD,2
1775324096.8130581,438,BTC-USD,5
1775324097.574903,439,BTC-USD,3
1775324097.575103,440,BTC-USD,2
1775324097.5752041,441,BTC-USD,1
1775324097.5753,442,BTC-USD,2
1775324097.575436,443,BTC-USD,51
1775324097.575616,444,BTC-USD,9
1775324097.575767,445,BTC-USD,5
1775324097.5758898,446,BTC-USD,16
1775324097.576003,447,BTC-USD,1
1775324097.5761,448,BTC-USD,5
1775324097.5761971,449,BTC-USD,6
1775324097.576318,450,BTC-USD,3
1775324097.57642,451,BTC-USD,6
1775324097.576544,452,BTC-USD,1
1775324097.6124659,453,BTC-USD,3
1775324097.664984,454,BTC-USD,6
1775324097.713809,455,BTC-USD,2
1775324097.764419,456,BTC-USD,4
1775324097.8156102,457,BTC-USD,10
1775324097.861019,458,BTC-USD,2
1775324097.913109,459,BTC-USD,5
1775324097.9612339,460,BTC-USD,3
1775324098.014156,461,BTC-USD,8
1775324098.063284,462,BTC-USD,11
1775324098.1137369,463,BTC-USD,14
1775324098.166003,464,BTC-USD,10
1775324098.2138891,465,BTC-USD,9
1775324098.26452,466,BTC-USD,6
1775324098.3140428,467,BTC-USD,10
1775324098.3648682,468,BTC-USD,8
1775324098.417299,469,BTC-USD,15
1775324098.465409,470,BTC-USD,8
1775324098.512011,471,BTC-USD,1
1775324098.565801,472,BTC-USD,5
1775324098.614812,473,BTC-USD,2
1775324098.663841,474,BTC-USD,4
1775324098.713877,475,BTC-USD,2
1775324098.759955,476,BTC-USD,4
1775324098.816575,477,BTC-USD,12
1775324098.860126,478,BTC-USD,1
1775324098.9107919,479,BTC-USD,2
1775324098.963284,480,BTC-USD,12
1775324099.016929,481,BTC-USD,6
1775324099.0633228,482,BTC-USD,10
1775324099.1149309,483,BTC-USD,5
1775324099.1595662,484,BTC-USD,1
1775324099.216681,485,BTC-USD,25
1775324099.2738612,486,BTC-USD,24
1775324099.319541,487,BTC-USD,13
1775324099.363625,488,BTC-USD,12
1775324099.415027,489,BTC-USD,21
1775324099.464947,490,BTC-USD,24
1775324099.514902,491,BTC-USD,13
1775324099.560776,492,BTC-USD,3
1775324099.6176362,493,BTC-USD,10
1775324099.662817,494,BTC-USD,3
1775324099.7156281,495,BTC-USD,6
1775324099.765897,496,BTC-USD,17
1775324099.814812,497,BTC-USD,8
1775324099.8636642,498,BTC-USD,10
1775324099.9157498,499,BTC-USD,15
1775324099.96273,500,BTC-USD,4
1775324100.012875,501,BTC-USD,7
1775324100.0638778,502,BTC-USD,8
1775324100.1136892,503,BTC-USD,10
1775324100.162753,504,BTC-USD,9
1775324100.2118132,505,BTC-USD,10
1775324100.263061,506,BTC-USD,6
1775324100.3142269,507,BTC-USD,15
1775324100.364183,508,BTC-USD,8
1775324100.415593,509,BTC-USD,6
1775324100.463722,510,BTC-USD,9
1775324100.513676,511,BTC-USD,11
